,Nominuees,Eddie Ruan (Alibaba),Samuel Angebault (Arista),Madhu Paluru (Aviz Networks),Mehak Mahajan (Broadcom),Praveen Bhagwatula (Cisco),Senthil Kumar Ganesan (Dell),Bhagat Janarthanan (Google),Deb Chatterjee (Intel),Ravindranath C Kanakarajan (Marvell),Lihua Yuan (Microsoft),Liat Grozovik (NVidia),Leonid Khedyk (PLVision)
Voter,,,,,,,,,,,,,
Eddie Ruan(Alibaba),,934,,,934,934,934,934,934,934,934,934,
Kishore Atreya(Marvell),,"1,274",,,"1,274","1,274","1,274","1,274",,"1,274","1,274","1,274","1,274"
Ben Bronson(Aviz Networks),,246,,246,246,246,,246,246,246,246,246,
Senthil Kumar Ganesan,,"6,947",,,"6,947","6,947","6,947","6,947","6,947","6,947","6,947","6,947",
Mehak Mahajan(Broadcom),,"7,016","7,016","7,016","7,016",,"7,016","7,016",,,"7,016","7,016","7,016"
Debashis Chatterjee(Intel),,"2,504",,,"2,504","2,504","2,504","2,504","2,504","2,504","2,504",,"2,504"
Manikandan Veerachamy(Cisco System Inc),,"1,483",,,"1,483","1,483","1,483","1,483","1,483","1,483","1,483","1,483",
PLVision ,,939,,,939,939,939,939,,939,939,939,939
"Lihua Yuan, Microsoft",,"89,679",,,"89,679","89,679","89,679","89,679","89,679","89,679","89,679","89,679",
Waqar Mohsin(Google),,"1,584",,,"1,584","1,584","1,584","1,584","1,584","1,584","1,584","1,584",
Samuel Angebault (Arista),,"4,218","4,218","4,218",,,"4,218","4,218","4,218","4,218","4,218","4,218",
SUM,,"116,823","11,234","11,480","112,605","105,589","116,577","116,823","107,595","109,808","116,823","114,319","11,733"
